lap,compound,stint_age,tyre_wear,total_time,pitted,action,lap_time,episode_log
0,2,0,0.0,0.0,False,,,
1,1,1,0.02,116.0,True,2.0,116.0,
2,1,1,0.02,232.0,True,2.0,116.0,
3,0,1,0.02,347.0,True,1.0,115.0,
4,0,1,0.02,462.0,True,1.0,115.0,
5,0,1,0.02,577.0,True,1.0,115.0,
6,0,1,0.02,692.0,True,1.0,115.0,
7,0,1,0.02,807.0,True,1.0,115.0,
8,0,1,0.02,922.0,True,1.0,115.0,
9,0,1,0.02,1037.0,True,1.0,115.0,
10,0,1,0.02,1152.0,True,1.0,115.0,
11,0,1,0.02,1267.0,True,1.0,115.0,
12,0,1,0.02,1382.0,True,1.0,115.0,
13,0,1,0.02,1497.0,True,1.0,115.0,
14,0,1,0.02,1612.0,True,1.0,115.0,
15,0,1,0.02,1727.0,True,1.0,115.0,
16,0,1,0.02,1842.0,True,1.0,115.0,
17,0,1,0.02,1957.0,True,1.0,115.0,
18,0,1,0.02,2072.0,True,1.0,115.0,
19,0,1,0.02,2187.0,True,1.0,115.0,
20,0,1,0.02,2302.0,True,1.0,115.0,
21,0,1,0.02,2417.0,True,1.0,115.0,
22,0,1,0.02,2532.0,True,1.0,115.0,
23,0,1,0.02,2647.0,True,1.0,115.0,
24,0,1,0.02,2762.0,True,1.0,115.0,
25,0,1,0.02,2877.0,True,1.0,115.0,
26,0,1,0.02,2992.0,True,1.0,115.0,
27,0,1,0.02,3107.0,True,1.0,115.0,
28,0,1,0.02,3222.0,True,1.0,115.0,
29,0,1,0.02,3337.0,True,1.0,115.0,
30,0,1,0.02,3452.0,True,1.0,115.0,
31,0,1,0.02,3567.0,True,1.0,115.0,
32,0,1,0.02,3682.0,True,1.0,115.0,
33,0,1,0.02,3797.0,True,1.0,115.0,
34,0,1,0.02,3912.0,True,1.0,115.0,
35,0,1,0.02,4027.0,True,1.0,115.0,
36,0,1,0.02,4142.0,True,1.0,115.0,
37,0,1,0.02,4257.0,True,1.0,115.0,
38,0,1,0.02,4372.0,True,1.0,115.0,
39,0,1,0.02,4487.0,True,1.0,115.0,
40,0,1,0.02,4602.0,True,1.0,115.0,
41,0,1,0.02,4717.0,True,1.0,115.0,
42,0,1,0.02,4832.0,True,1.0,115.0,
43,0,1,0.02,4947.0,True,1.0,115.0,
44,0,1,0.02,5062.0,True,1.0,115.0,
45,0,1,0.02,5177.0,True,1.0,115.0,
46,0,1,0.02,5292.0,True,1.0,115.0,
47,0,1,0.02,5407.0,True,1.0,115.0,
48,0,1,0.02,5522.0,True,1.0,115.0,
49,0,1,0.02,5637.0,True,1.0,115.0,
