lap,compound,stint_age,tyre_wear,total_time,pitted,action,lap_time,episode_log
0,1,0,0.0,0.0,False,,,
1,1,1,0.02,90.0,False,0.0,90.0,
2,1,2,0.04,180.1,False,0.0,90.1,
3,1,3,0.06,270.3,False,0.0,90.2,
4,1,4,0.08,360.6,False,0.0,90.3,
5,1,5,0.1,451.0,False,0.0,90.4,
6,1,6,0.12,541.5,False,0.0,90.5,
7,1,7,0.14,632.1,False,0.0,90.6,
8,1,8,0.16,722.8000000000001,False,0.0,90.7,
9,1,9,0.18,813.6,False,0.0,90.8,
10,1,10,0.2,904.5,False,0.0,90.9,
11,1,11,0.22,995.5,False,0.0,91.0,
12,1,12,0.24,1086.6,False,0.0,91.1,
13,1,13,0.26,1177.8,False,0.0,91.2,
14,1,14,0.28,1269.1,False,0.0,91.3,
15,1,15,0.3,1360.5,False,0.0,91.4,
16,1,16,0.32,1452.0,False,0.0,91.5,
17,1,17,0.34,1543.6,False,0.0,91.6,
18,1,18,0.36,1635.3,False,0.0,91.7,
19,1,19,0.38,1727.1,False,0.0,91.8,
20,1,20,0.4,1819.0,False,0.0,91.9,
21,1,21,0.42,1911.0,False,0.0,92.0,
22,1,22,0.44,2003.1,False,0.0,92.1,
23,1,23,0.46,2095.2999999999997,False,0.0,92.2,
24,0,1,0.02,2203.2999999999997,True,1.0,108.0,
25,0,2,0.04,2291.4999999999995,False,0.0,88.2,
26,0,3,0.06,2379.8999999999996,False,0.0,88.4,
27,0,4,0.08,2468.4999999999995,False,0.0,88.6,
28,0,5,0.1,2557.2999999999997,False,0.0,88.8,
29,0,6,0.12,2646.2999999999997,False,0.0,89.0,
30,0,7,0.14,2735.4999999999995,False,0.0,89.2,
31,0,8,0.16,2824.8999999999996,False,0.0,89.4,
32,0,9,0.18,2914.4999999999995,False,0.0,89.6,
33,0,10,0.2,3004.2999999999997,False,0.0,89.8,
34,0,11,0.22,3094.2999999999997,False,0.0,90.0,
35,0,12,0.24,3184.4999999999995,False,0.0,90.2,
36,0,13,0.26,3274.8999999999996,False,0.0,90.4,
37,0,14,0.28,3365.4999999999995,False,0.0,90.6,
38,0,15,0.3,3456.2999999999997,False,0.0,90.8,
39,0,16,0.32,3547.2999999999997,False,0.0,91.0,
40,0,17,0.34,3638.4999999999995,False,0.0,91.2,
41,0,18,0.36,3729.8999999999996,False,0.0,91.4,
42,0,19,0.38,3821.4999999999995,False,0.0,91.6,
43,0,20,0.4,3913.2999999999997,False,0.0,91.8,
44,0,21,0.42,4005.2999999999997,False,0.0,92.0,
45,0,22,0.44,4097.5,False,0.0,92.2,
46,0,23,0.46,4189.9,False,0.0,92.4,
47,0,24,0.48,4282.5,False,0.0,92.6,
48,0,25,0.5,4375.3,False,0.0,92.8,
49,0,26,0.52,4468.3,False,0.0,93.0,
