lap,compound,stint_age,tyre_wear,total_time,pitted,action,lap_time,episode_log
0,0,0,0.0,0.0,False,,,
1,0,1,0.02,90.0,False,0.0,90.0,
2,0,2,0.04,180.15,False,0.0,90.15,
3,0,3,0.06,270.45,False,0.0,90.3,
4,0,4,0.08,360.9,False,0.0,90.45,
5,0,5,0.1,451.5,False,0.0,90.6,
6,0,6,0.12,542.25,False,0.0,90.75,
7,0,7,0.14,633.15,False,0.0,90.9,
8,0,8,0.16,724.1999999999999,False,0.0,91.05,
9,0,9,0.18,815.4,False,0.0,91.2,
10,0,10,0.2,906.75,False,0.0,91.35,
11,0,11,0.22,998.25,False,0.0,91.5,
12,0,12,0.24,1089.9,False,0.0,91.65,
13,0,13,0.26,1181.7,False,0.0,91.8,
14,0,14,0.28,1273.65,False,0.0,91.95,
15,0,15,0.3,1365.75,False,0.0,92.1,
16,0,16,0.32,1458.0,False,0.0,92.25,
17,0,17,0.34,1550.4,False,0.0,92.4,
18,0,18,0.36,1642.95,False,0.0,92.55,
19,0,19,0.38,1735.65,False,0.0,92.7,
20,0,20,0.4,1828.5,False,0.0,92.85,
21,0,21,0.42,1921.5,False,0.0,93.0,
22,0,22,0.44,2014.65,False,0.0,93.15,
23,0,23,0.46,2107.9500000000003,False,0.0,93.3,
24,0,24,0.48,2201.4,False,0.0,93.45,
25,0,25,0.5,2295.0,False,0.0,93.6,
26,0,26,0.52,2388.75,False,0.0,93.75,
27,0,27,0.54,2482.65,False,0.0,93.9,
28,0,28,0.56,2576.7000000000003,False,0.0,94.05,
29,0,29,0.58,2670.9,False,0.0,94.2,
30,0,30,0.6,2765.25,False,0.0,94.35,
31,2,1,0.02,2882.25,True,3.0,117.0,
32,2,1,0.02,2999.25,True,3.0,117.0,
33,2,2,0.04,3091.32,False,0.0,92.07,
34,2,3,0.06,3183.46,False,0.0,92.14,
35,2,4,0.08,3275.67,False,0.0,92.21,
36,2,5,0.1,3367.9500000000003,False,0.0,92.28,
37,2,6,0.12,3460.3,False,0.0,92.35,
38,2,7,0.14,3552.7200000000003,False,0.0,92.42,
39,2,8,0.16,3645.21,False,0.0,92.49,
40,2,9,0.18,3737.77,False,0.0,92.56,
41,2,10,0.2,3830.4,False,0.0,92.63,
42,2,11,0.22,3923.1,False,0.0,92.7,
43,2,12,0.24,4015.87,False,0.0,92.77,
44,2,13,0.26,4108.71,False,0.0,92.84,
45,2,14,0.28,4201.62,False,0.0,92.91,
46,2,15,0.3,4294.599999999999,False,0.0,92.98,
47,2,16,0.32,4387.65,False,0.0,93.05,
48,2,17,0.34,4480.7699999999995,False,0.0,93.12,
49,2,18,0.36,4573.959999999999,False,0.0,93.19,
