lap,compound,stint_age,tire_wear,total_time,pitted,action,lap_time,episode_log
0,2,0,0.0,0.0,False,,,
1,1,1,0.02,110.0,True,2.0,110.0,
2,2,1,0.02,221.0,True,3.0,111.0,
3,1,1,0.02,331.0,True,2.0,110.0,
4,1,2,0.04,421.1,False,0.0,90.1,
5,0,1,0.02,529.1,True,1.0,108.0,
6,0,2,0.04,617.3000000000001,False,0.0,88.2,
7,0,3,0.06,705.7,False,0.0,88.4,
8,0,4,0.08,794.3000000000001,False,0.0,88.6,
9,0,5,0.1,883.1,False,0.0,88.8,
10,0,6,0.12,972.1,False,0.0,89.0,
11,0,7,0.14,1061.3,False,0.0,89.2,
12,0,8,0.16,1150.7,False,0.0,89.4,
13,0,9,0.18,1240.3,False,0.0,89.6,
14,0,10,0.2,1330.1,False,0.0,89.8,
15,0,11,0.22,1420.1,False,0.0,90.0,
16,0,12,0.24,1510.3,False,0.0,90.2,
17,0,13,0.26,1600.7,False,0.0,90.4,
18,0,14,0.28,1691.3,False,0.0,90.6,
19,0,15,0.3,1782.1,False,0.0,90.8,
20,0,16,0.32,1873.1,False,0.0,91.0,
21,0,17,0.34,1964.3,False,0.0,91.2,
22,0,18,0.36,2055.7,False,0.0,91.4,
23,0,19,0.38,2147.2999999999997,False,0.0,91.6,
24,0,20,0.4,2239.1,False,0.0,91.8,
25,0,21,0.42,2331.1,False,0.0,92.0,
26,0,22,0.44,2423.2999999999997,False,0.0,92.2,
27,0,23,0.46,2515.7,False,0.0,92.4,
28,0,24,0.48,2608.2999999999997,False,0.0,92.6,
29,0,25,0.5,2701.1,False,0.0,92.8,
30,0,26,0.52,2794.1,False,0.0,93.0,
31,0,27,0.54,2887.2999999999997,False,0.0,93.2,
32,0,28,0.56,2980.7,False,0.0,93.4,
33,0,29,0.58,3074.2999999999997,False,0.0,93.6,
34,0,30,0.6,3168.1,False,0.0,93.8,
35,0,31,0.62,3262.1,False,0.0,94.0,
36,0,32,0.64,3356.2999999999997,False,0.0,94.2,
37,0,33,0.66,3450.7,False,0.0,94.4,
38,0,34,0.68,3545.2999999999997,False,0.0,94.6,
39,0,35,0.7,3640.1,False,0.0,94.8,
40,0,36,0.72,3735.1,False,0.0,95.0,
41,0,37,0.74,3830.2999999999997,False,0.0,95.2,
42,0,38,0.76,3925.7,False,0.0,95.4,
43,0,39,0.78,4021.2999999999997,False,0.0,95.6,
44,0,40,0.8,4117.099999999999,False,0.0,95.8,
45,0,41,0.82,4213.099999999999,False,0.0,96.0,
46,0,42,0.84,4309.299999999999,False,0.0,96.2,
47,0,43,0.86,4405.699999999999,False,0.0,96.4,
48,0,44,0.88,4502.299999999999,False,0.0,96.6,
49,0,45,0.9,4599.099999999999,False,0.0,96.8,
