lap,compound,stint_age,tyre_wear,total_time,pitted,action,lap_time,episode_log
0,1,0,0.0,0.0,False,,,
1,1,1,0.02,90.0,False,0.0,90.0,
2,1,2,0.04,180.1,False,0.0,90.1,
3,1,3,0.06,270.3,False,0.0,90.2,
4,1,4,0.08,360.6,False,0.0,90.3,
5,1,5,0.1,451.0,False,0.0,90.4,
6,1,6,0.12,541.5,False,0.0,90.5,
7,1,7,0.14,632.1,False,0.0,90.6,
8,1,8,0.16,722.8000000000001,False,0.0,90.7,
9,1,9,0.18,813.6,False,0.0,90.8,
10,1,10,0.2,904.5,False,0.0,90.9,
11,1,11,0.22,995.5,False,0.0,91.0,
12,1,12,0.24,1086.6,False,0.0,91.1,
13,1,13,0.26,1177.8,False,0.0,91.2,
14,1,14,0.28,1269.1,False,0.0,91.3,
15,1,15,0.3,1360.5,False,0.0,91.4,
16,1,16,0.32,1452.0,False,0.0,91.5,
17,1,17,0.34,1543.6,False,0.0,91.6,
18,1,18,0.36,1635.3,False,0.0,91.7,
19,1,19,0.38,1727.1,False,0.0,91.8,
20,1,20,0.4,1819.0,False,0.0,91.9,
21,1,21,0.42,1911.0,False,0.0,92.0,
22,1,22,0.44,2003.1,False,0.0,92.1,
23,1,23,0.46,2095.2999999999997,False,0.0,92.2,
24,1,24,0.48,2187.6,False,0.0,92.3,
25,1,25,0.5,2280.0,False,0.0,92.4,
26,1,26,0.52,2372.5,False,0.0,92.5,
27,1,27,0.54,2465.1,False,0.0,92.6,
28,1,28,0.56,2557.7999999999997,False,0.0,92.7,
29,1,29,0.58,2650.6,False,0.0,92.8,
30,1,30,0.6,2743.5,False,0.0,92.9,
31,1,31,0.62,2836.5,False,0.0,93.0,
32,1,32,0.64,2929.6,False,0.0,93.1,
33,1,33,0.66,3022.7999999999997,False,0.0,93.2,
34,1,34,0.68,3116.1,False,0.0,93.3,
35,1,35,0.7,3209.5,False,0.0,93.4,
36,1,36,0.72,3303.0,False,0.0,93.5,
37,1,37,0.74,3396.6,False,0.0,93.6,
38,1,38,0.76,3490.2999999999997,False,0.0,93.7,
39,1,39,0.78,3584.1,False,0.0,93.8,
40,1,40,0.8,3678.0,False,0.0,93.9,
41,1,41,0.82,3772.0,False,0.0,94.0,
42,1,42,0.84,3866.1,False,0.0,94.1,
43,1,43,0.86,3960.2999999999997,False,0.0,94.2,
44,1,44,0.88,4054.6,False,0.0,94.3,
45,1,45,0.9,4149.0,False,0.0,94.4,
46,1,46,0.92,4243.5,False,0.0,94.5,
47,1,47,0.94,4338.1,False,0.0,94.6,
48,1,48,0.96,4432.8,False,0.0,94.7,
49,1,49,0.98,4527.6,False,0.0,94.8,
