lap,compound,stint_age,tyre_wear,total_time,pitted,action,lap_time,episode_log
0,0,0,0.0,0.0,False,,,
1,0,1,0.02,88.0,False,0.0,88.0,
2,0,2,0.04,176.2,False,0.0,88.2,
3,0,3,0.06,264.6,False,0.0,88.4,
4,0,4,0.08,353.20000000000005,False,0.0,88.6,
5,0,5,0.1,442.00000000000006,False,0.0,88.8,
6,0,6,0.12,531.0,False,0.0,89.0,
7,0,7,0.14,620.2,False,0.0,89.2,
8,0,8,0.16,709.6,False,0.0,89.4,
9,0,9,0.18,799.2,False,0.0,89.6,
10,0,10,0.2,889.0,False,0.0,89.8,
11,0,11,0.22,979.0,False,0.0,90.0,
12,0,12,0.24,1069.2,False,0.0,90.2,
13,0,13,0.26,1159.6000000000001,False,0.0,90.4,
14,0,14,0.28,1250.2,False,0.0,90.6,
15,0,15,0.3,1341.0,False,0.0,90.8,
16,0,16,0.32,1432.0,False,0.0,91.0,
17,0,17,0.34,1523.2,False,0.0,91.2,
18,0,18,0.36,1614.6000000000001,False,0.0,91.4,
19,0,19,0.38,1706.2,False,0.0,91.6,
20,0,20,0.4,1798.0,False,0.0,91.8,
21,0,21,0.42,1890.0,False,0.0,92.0,
22,0,22,0.44,1982.2,False,0.0,92.2,
23,0,23,0.46,2074.6,False,0.0,92.4,
24,0,24,0.48,2167.2,False,0.0,92.6,
25,0,25,0.5,2260.0,False,0.0,92.8,
26,0,26,0.52,2353.0,False,0.0,93.0,
27,0,27,0.54,2446.2,False,0.0,93.2,
28,0,28,0.56,2539.6,False,0.0,93.4,
29,0,29,0.58,2633.2,False,0.0,93.6,
30,0,30,0.6,2727.0,False,0.0,93.8,
31,0,31,0.62,2821.0,False,0.0,94.0,
32,0,32,0.64,2915.2,False,0.0,94.2,
33,0,33,0.66,3009.6,False,0.0,94.4,
34,0,34,0.68,3104.2,False,0.0,94.6,
35,0,35,0.7,3199.0,False,0.0,94.8,
36,0,36,0.72,3294.0,False,0.0,95.0,
37,0,37,0.74,3389.2,False,0.0,95.2,
38,0,38,0.76,3484.6,False,0.0,95.4,
39,0,39,0.78,3580.2,False,0.0,95.6,
40,0,40,0.8,3676.0,False,0.0,95.8,
41,0,41,0.82,3772.0,False,0.0,96.0,
42,0,42,0.84,3868.2,False,0.0,96.2,
43,0,43,0.86,3964.6,False,0.0,96.4,
44,0,44,0.88,4061.2,False,0.0,96.6,
45,0,45,0.9,4158.0,False,0.0,96.8,
46,0,46,0.92,4255.0,False,0.0,97.0,
47,0,47,0.94,4352.2,False,0.0,97.2,
48,0,48,0.96,4449.599999999999,False,0.0,97.4,
49,0,49,0.98,4547.2,False,0.0,97.6,
