lap,compound,stint_age,tire_wear,total_time,pitted,action,lap_time,episode_log
1,0,1,0.02,88.0,False,0,88.0,
2,1,1,0.02,198.0,True,2,110.0,
3,1,2,0.04,288.1,False,2,90.1,
4,0,1,0.02,396.1,True,1,108.0,
5,2,1,0.02,507.1,True,3,111.0,
6,1,1,0.02,617.1,True,2,110.0,
7,2,1,0.02,728.1,True,3,111.0,
8,0,1,0.02,836.1,True,1,108.0,
9,2,1,0.02,947.1,True,3,111.0,
10,0,1,0.02,1055.1,True,1,108.0,
11,2,1,0.02,1166.1,True,3,111.0,
12,0,1,0.02,1274.1,True,1,108.0,
13,1,1,0.02,1384.1,True,2,110.0,
14,0,1,0.02,1492.1,True,1,108.0,
15,0,2,0.04,1580.3,False,0,88.2,
16,0,3,0.06,1668.7,False,0,88.4,
17,0,4,0.08,1757.3,False,1,88.6,
18,1,1,0.02,1867.3,True,2,110.0,
19,2,1,0.02,1978.3,True,3,111.0,
20,0,1,0.02,2086.3,True,1,108.0,
21,0,2,0.04,2174.5,False,0,88.2,
22,0,3,0.06,2262.9,False,0,88.4,
23,0,4,0.08,2351.5,False,1,88.6,
24,0,5,0.1,2440.3,False,0,88.8,
25,0,6,0.12,2529.3,False,0,89.0,
26,0,7,0.14,2618.5,False,0,89.2,
27,0,8,0.16,2707.9,False,0,89.4,
28,0,9,0.18,2797.5,False,1,89.6,
29,0,10,0.2,2887.3,False,0,89.8,
30,2,1,0.02,2998.3,True,3,111.0,
31,0,1,0.02,3106.3,True,1,108.0,
32,0,2,0.04,3194.5,False,1,88.2,
33,0,3,0.06,3282.9,False,0,88.4,
34,0,4,0.08,3371.5,False,1,88.6,
35,1,1,0.02,3481.5,True,2,110.0,
36,1,2,0.04,3571.6,False,2,90.1,
37,1,3,0.06,3661.7999999999997,False,0,90.2,
38,2,1,0.02,3772.7999999999997,True,3,111.0,
39,0,1,0.02,3880.7999999999997,True,1,108.0,
40,0,2,0.04,3968.9999999999995,False,1,88.2,
41,0,3,0.06,4057.3999999999996,False,0,88.4,
42,1,1,0.02,4167.4,True,2,110.0,
43,1,2,0.04,4257.5,False,2,90.1,
44,1,3,0.06,4347.7,False,2,90.2,
45,2,1,0.02,4458.7,True,3,111.0,
46,2,2,0.04,4549.76,False,3,91.06,
47,2,3,0.06,4640.88,False,0,91.12,
48,2,4,0.08,4732.06,False,3,91.18,
49,2,5,0.1,4823.3,False,0,91.24,
