lap,compound,stint_age,tire_wear,total_time,pitted,action,lap_time,episode_log
0,2,0,0.0,0.0,False,,,
1,0,1,0.02,108.0,True,1.0,108.0,
2,0,2,0.04,196.2,False,0.0,88.2,
3,0,3,0.06,284.6,False,0.0,88.4,
4,0,4,0.08,373.20000000000005,False,0.0,88.6,
5,0,5,0.1,462.00000000000006,False,0.0,88.8,
6,0,6,0.12,551.0,False,0.0,89.0,
7,0,7,0.14,640.2,False,0.0,89.2,
8,0,8,0.16,729.6,False,0.0,89.4,
9,0,9,0.18,819.2,False,0.0,89.6,
10,0,10,0.2,909.0,False,0.0,89.8,
11,0,11,0.22,999.0,False,0.0,90.0,
12,0,12,0.24,1089.2,False,0.0,90.2,
13,0,13,0.26,1179.6000000000001,False,0.0,90.4,
14,0,14,0.28,1270.2,False,0.0,90.6,
15,0,15,0.3,1361.0,False,0.0,90.8,
16,0,16,0.32,1452.0,False,0.0,91.0,
17,0,17,0.34,1543.2,False,0.0,91.2,
18,0,18,0.36,1634.6000000000001,False,0.0,91.4,
19,0,19,0.38,1726.2,False,0.0,91.6,
20,0,20,0.4,1818.0,False,0.0,91.8,
21,0,21,0.42,1910.0,False,0.0,92.0,
22,0,22,0.44,2002.2,False,0.0,92.2,
23,0,23,0.46,2094.6,False,0.0,92.4,
24,0,24,0.48,2187.2,False,0.0,92.6,
25,0,25,0.5,2280.0,False,0.0,92.8,
26,0,26,0.52,2373.0,False,0.0,93.0,
27,0,27,0.54,2466.2,False,0.0,93.2,
28,0,28,0.56,2559.6,False,0.0,93.4,
29,0,29,0.58,2653.2,False,0.0,93.6,
30,0,30,0.6,2747.0,False,0.0,93.8,
31,0,31,0.62,2841.0,False,0.0,94.0,
32,0,32,0.64,2935.2,False,0.0,94.2,
33,0,33,0.66,3029.6,False,0.0,94.4,
34,0,34,0.68,3124.2,False,0.0,94.6,
35,0,35,0.7,3219.0,False,0.0,94.8,
36,0,36,0.72,3314.0,False,0.0,95.0,
37,0,37,0.74,3409.2,False,0.0,95.2,
38,0,38,0.76,3504.6,False,0.0,95.4,
39,0,39,0.78,3600.2,False,0.0,95.6,
40,0,40,0.8,3696.0,False,0.0,95.8,
41,0,41,0.82,3792.0,False,0.0,96.0,
42,0,42,0.84,3888.2,False,0.0,96.2,
43,0,43,0.86,3984.6,False,0.0,96.4,
44,0,44,0.88,4081.2,False,0.0,96.6,
45,0,45,0.9,4178.0,False,0.0,96.8,
46,0,46,0.92,4275.0,False,0.0,97.0,
47,0,47,0.94,4372.2,False,0.0,97.2,
48,0,48,0.96,4469.599999999999,False,0.0,97.4,
49,0,49,0.98,4567.2,False,0.0,97.6,
