lap,compound,stint_age,tire_wear,total_time,pitted,action,lap_time,episode_log
0,1,0,0.0,0.0,False,,,
1,2,1,0.02,111.0,True,3.0,111.0,
2,1,1,0.02,221.0,True,2.0,110.0,
3,2,1,0.02,332.0,True,3.0,111.0,
4,1,1,0.02,442.0,True,2.0,110.0,
5,2,1,0.02,553.0,True,3.0,111.0,
6,1,1,0.02,663.0,True,2.0,110.0,
7,0,1,0.02,771.0,True,1.0,108.0,
8,1,1,0.02,881.0,True,2.0,110.0,
9,0,1,0.02,989.0,True,1.0,108.0,
10,1,1,0.02,1099.0,True,2.0,110.0,
11,1,2,0.04,1189.1,False,0.0,90.1,
12,1,3,0.06,1279.3,False,0.0,90.2,
13,1,4,0.08,1369.6,False,0.0,90.3,
14,1,5,0.1,1460.0,False,0.0,90.4,
15,1,6,0.12,1550.5,False,0.0,90.5,
16,1,7,0.14,1641.1,False,0.0,90.6,
17,1,8,0.16,1731.8,False,0.0,90.7,
18,1,9,0.18,1822.6,False,0.0,90.8,
19,1,10,0.2,1913.5,False,0.0,90.9,
20,1,11,0.22,2004.5,False,0.0,91.0,
21,1,12,0.24,2095.6,False,0.0,91.1,
22,1,13,0.26,2186.7999999999997,False,0.0,91.2,
23,1,14,0.28,2278.1,False,0.0,91.3,
24,1,15,0.3,2369.5,False,0.0,91.4,
25,1,16,0.32,2461.0,False,0.0,91.5,
26,1,17,0.34,2552.6,False,0.0,91.6,
27,1,18,0.36,2644.2999999999997,False,0.0,91.7,
28,1,19,0.38,2736.1,False,0.0,91.8,
29,1,20,0.4,2828.0,False,0.0,91.9,
30,1,21,0.42,2920.0,False,0.0,92.0,
31,1,22,0.44,3012.1,False,0.0,92.1,
32,1,23,0.46,3104.2999999999997,False,0.0,92.2,
33,1,24,0.48,3196.6,False,0.0,92.3,
34,1,25,0.5,3289.0,False,0.0,92.4,
35,1,26,0.52,3381.5,False,0.0,92.5,
36,1,27,0.54,3474.1,False,0.0,92.6,
37,1,28,0.56,3566.7999999999997,False,0.0,92.7,
38,1,29,0.58,3659.6,False,0.0,92.8,
39,1,30,0.6,3752.5,False,0.0,92.9,
40,1,31,0.62,3845.5,False,0.0,93.0,
41,1,32,0.64,3938.6,False,0.0,93.1,
42,1,33,0.66,4031.7999999999997,False,0.0,93.2,
43,1,34,0.68,4125.099999999999,False,0.0,93.3,
44,1,35,0.7,4218.499999999999,False,0.0,93.4,
45,1,36,0.72,4311.999999999999,False,0.0,93.5,
46,1,37,0.74,4405.599999999999,False,0.0,93.6,
47,1,38,0.76,4499.299999999999,False,0.0,93.7,
48,1,39,0.78,4593.099999999999,False,0.0,93.8,
49,1,40,0.8,4686.999999999999,False,0.0,93.9,
