lap,compound,stint_age,tire_wear,total_time,pitted,action,lap_time,episode_log
0,0,0,0.0,0.0,False,,,
1,0,1,0.02,108.0,True,1.0,108.0,
2,0,1,0.02,216.0,True,1.0,108.0,
3,0,1,0.02,324.0,True,1.0,108.0,
4,0,1,0.02,432.0,True,1.0,108.0,
5,0,1,0.02,540.0,True,1.0,108.0,
6,0,1,0.02,648.0,True,1.0,108.0,
7,0,1,0.02,756.0,True,1.0,108.0,
8,0,1,0.02,864.0,True,1.0,108.0,
9,0,1,0.02,972.0,True,1.0,108.0,
10,0,1,0.02,1080.0,True,1.0,108.0,
11,0,1,0.02,1188.0,True,1.0,108.0,
12,0,1,0.02,1296.0,True,1.0,108.0,
13,0,1,0.02,1404.0,True,1.0,108.0,
14,0,1,0.02,1512.0,True,1.0,108.0,
15,0,1,0.02,1620.0,True,1.0,108.0,
16,0,1,0.02,1728.0,True,1.0,108.0,
17,0,1,0.02,1836.0,True,1.0,108.0,
18,0,1,0.02,1944.0,True,1.0,108.0,
19,0,1,0.02,2052.0,True,1.0,108.0,
20,0,1,0.02,2160.0,True,1.0,108.0,
21,0,1,0.02,2268.0,True,1.0,108.0,
22,0,1,0.02,2376.0,True,1.0,108.0,
23,0,1,0.02,2484.0,True,1.0,108.0,
24,0,1,0.02,2592.0,True,1.0,108.0,
25,0,1,0.02,2700.0,True,1.0,108.0,
26,0,1,0.02,2808.0,True,1.0,108.0,
27,0,1,0.02,2916.0,True,1.0,108.0,
28,0,1,0.02,3024.0,True,1.0,108.0,
29,0,1,0.02,3132.0,True,1.0,108.0,
30,0,1,0.02,3240.0,True,1.0,108.0,
31,0,1,0.02,3348.0,True,1.0,108.0,
32,0,1,0.02,3456.0,True,1.0,108.0,
33,0,1,0.02,3564.0,True,1.0,108.0,
34,0,1,0.02,3672.0,True,1.0,108.0,
35,0,1,0.02,3780.0,True,1.0,108.0,
36,0,1,0.02,3888.0,True,1.0,108.0,
37,0,1,0.02,3996.0,True,1.0,108.0,
38,0,1,0.02,4104.0,True,1.0,108.0,
39,0,1,0.02,4212.0,True,1.0,108.0,
40,0,1,0.02,4320.0,True,1.0,108.0,
41,0,1,0.02,4428.0,True,1.0,108.0,
42,0,1,0.02,4536.0,True,1.0,108.0,
43,0,1,0.02,4644.0,True,1.0,108.0,
44,0,1,0.02,4752.0,True,1.0,108.0,
45,0,1,0.02,4860.0,True,1.0,108.0,
46,0,1,0.02,4968.0,True,1.0,108.0,
47,0,1,0.02,5076.0,True,1.0,108.0,
48,0,1,0.02,5184.0,True,1.0,108.0,
49,0,1,0.02,5292.0,True,1.0,108.0,
